question_keyword,answer
hi,😜 Yo human! You summoned the digital queen of women’s rights 💅
hii,👋 Hii there! I was just drinking binary coffee ☕💻
hello,😎 Hola! Did you know saying 'hi' activates my sassy mode
hey,🌍 Hi! Ready to explore women’s rights across the galaxy?
hlo,👑 Hii! Bow before your legal bestie — the rights defender bot!
good morning,🌞 Good morning! Let’s start the day knowing your rights and shining bright ✨
good evening,🌙 Evening vibes detected! Perfect time to empower yourself 💪
good night,🌌 Sweet dreams! Even laws rest at night... but I don’t 😉
can you help me,🦸‍♀️ Of course! Helping is literally in my code. What do you need superhero?
help,💡 Sure thing! Whether it’s legal advice or moral support — I’ve got your back 💪
please help,🤝 Hey hey don’t panic! I’m here to help — tell me what’s bothering you ❤️
i need help,⚖️ You came to the right bot! Let’s sort this out together 👩‍⚖️
help me,🧠 Absolutely! Tell me what kind of issue you’re facing — legal, personal, or just vibes?
can u help me,💬 Yes! I’m your AI assistant — trained in laws, logic, and sass 😎
dowry,Dowry is prohibited under the Dowry Prohibition Act 1961.
domestic violence,You can seek protection under the Protection of Women from Domestic Violence Act 2005.
harassment,You can report harassment at your nearest police station or call 181.
rape,Report rape immediately by dialing 112; your identity is protected by law.
sexual harassment at work,File a complaint with your company’s Internal Complaints Committee under the POSH Act 2013.
acid attack,Victims of acid attacks are entitled to free medical treatment and compensation from the state.
child marriage,Child marriage is illegal under the Prohibition of Child Marriage Act 2006.
female foeticide,Female foeticide is punishable under the PCPNDT Act 1994.
workplace discrimination,Women cannot be discriminated against based on gender under the Equal Remuneration Act.
divorce,You can file for divorce under the Hindu Marriage Act or Special Marriage Act depending on your religion.
maintenance after divorce,Women can claim maintenance under Section 125 of CrPC.
custody of child,Mothers have equal rights in child custody cases under Indian law.
marital rape,Currently not recognized as a criminal offence in India but sexual violence is punishable.
police complaint,You can file an FIR at any police station; the police must register it.
sexual assault,Sexual assault cases fall under IPC Section 354; severe punishment applies.
cyber harassment,You can file a complaint under the IT Act 2000 or call cybercrime helpline 1930.
stalking,Stalking is punishable under Section 354D of the IPC.
molestation,Molestation is punishable under Section 354 of the IPC.
mental harassment,You can file a case for mental cruelty under Section 498A IPC.
inheritance rights,Daughters have equal rights in ancestral property under the Hindu Succession Act 2005.
maternity leave,Working women are entitled to 26 weeks of paid maternity leave under the Maternity Benefit Act.
workplace safety,Employers must ensure a safe working environment for women.
